0x0000022530899CD0, 37692343562515488, 591441009, 591441011, 2, 320x180 
0x0000022530899CD0, 37692343563484992, 591441100, 591441106, 6, 320x180 
0x0000022530899CD0, 37692343564447744, 591441196, 591441197, 1, 320x180 
0x0000022530899CD0, 37692343565396104, 591441297, 591441299, 2, 320x180 
0x0000022530899CD0, 37692343566515288, 591441403, 591441414, 11, 320x180 
0x0000022530899CD0, 37692343567478928, 591441502, 591441504, 2, 320x180 
0x0000022530899CD0, 37692343568452976, 591441596, 591441599, 3, 320x180 
0x0000022530899CD0, 37692343569395216, 591441693, 591441695, 2, 320x180 
0x0000022530899CD0, 37692349254884816, 592010244, 592010272, 28, 320x180 
0x0000022530899CD0, 37692349255848568, 592010341, 592010349, 8, 320x180 
0x0000022530899CD0, 37692349256793088, 592010433, 592010436, 3, 320x180 
0x0000022530899CD0, 37692349257903328, 592010544, 592010549, 5, 320x180 
0x0000022530899CD0, 37692349258875688, 592010641, 592010644, 3, 320x180 
0x0000022530899CD0, 37692349259826944, 592010733, 592010737, 4, 320x180 
0x0000022530899CD0, 37692349260797464, 592010834, 592010837, 3, 320x180 
0x0000022530899CD0, 37692349261909304, 592010945, 592010949, 4, 320x180 
0x0000022530899CD0, 37692349262862200, 592011040, 592011042, 2, 320x180 
0x0000022530899CD0, 37692349263822928, 592011134, 592011137, 3, 320x180 
0x0000022530899CD0, 37692349264795008, 592011232, 592011234, 2, 320x180 
0x0000022530899CD0, 37692349265745528, 592011324, 592011331, 7, 320x180 
0x0000022530899CD0, 37692349266884784, 592011441, 592011444, 3, 320x180 
0x0000022530899CD0, 37692349267847200, 592011538, 592011541, 3, 320x180 
0x0000022530899CD0, 37692349268797568, 592011635, 592011637, 2, 320x180 
0x0000022530899CD0, 37692349269745960, 592011727, 592011730, 3, 320x180 
0x0000022530899CD0, 37692349270729536, 592011828, 592011831, 3, 320x180 
0x0000022530899CD0, 37692349271846616, 592011938, 592011941, 3, 320x180 
0x0000022530899CD0, 37692349272807896, 592012033, 592012036, 3, 320x180 
0x0000022530899CD0, 37692349273767264, 592012135, 592012138, 3, 320x180 
0x0000022530899CD0, 37692349274730880, 592012229, 592012232, 3, 320x180 
0x0000022530899CD0, 37692349275686392, 592012324, 592012327, 3, 320x180 
0x0000022530899CD0, 37692349276807304, 592012432, 592012436, 4, 320x180 
0x0000022530899CD0, 37692349277771208, 592012530, 592012537, 7, 320x180 
0x0000022530899CD0, 37692349278725416, 592012624, 592012627, 3, 320x180 
0x0000022530899CD0, 37692349279686768, 592012727, 592012731, 4, 320x180 
